Date,Time,TempC
4/29/2016,9:00:00,10.19
4/29/2016,10:00:00,10.33
4/29/2016,11:00:00,10.47
4/29/2016,12:00:00,10.65
4/29/2016,13:00:00,10.86
4/29/2016,14:00:00,11.08
4/29/2016,15:00:00,11.28
4/29/2016,16:00:00,11.56
4/29/2016,17:00:00,11.67
4/29/2016,18:00:00,11.62
4/29/2016,19:00:00,11.51
4/29/2016,20:00:00,11.41
4/29/2016,21:00:00,11.19
4/29/2016,22:00:00,10.94
4/29/2016,23:00:00,10.66
4/30/2016,0:00:00,10.38
4/30/2016,1:00:00,10.14
4/30/2016,2:00:00,9.95
4/30/2016,3:00:00,9.8
4/30/2016,4:00:00,9.72
4/30/2016,5:00:00,9.67
4/30/2016,6:00:00,9.61
4/30/2016,7:00:00,9.53
4/30/2016,8:00:00,9.5
4/30/2016,9:00:00,9.68
4/30/2016,10:00:00,9.94
4/30/2016,11:00:00,10.38
4/30/2016,12:00:00,10.85
4/30/2016,13:00:00,11.33
4/30/2016,14:00:00,11.83
4/30/2016,15:00:00,12.27
4/30/2016,16:00:00,12.5
4/30/2016,17:00:00,12.62
4/30/2016,18:00:00,12.55
4/30/2016,19:00:00,12.27
4/30/2016,20:00:00,11.9
4/30/2016,21:00:00,11.47
4/30/2016,22:00:00,11.05
4/30/2016,23:00:00,10.67
5/1/2016,0:00:00,10.34
5/1/2016,1:00:00,10.09
5/1/2016,2:00:00,9.92
5/1/2016,3:00:00,9.79
5/1/2016,4:00:00,9.68
5/1/2016,5:00:00,9.59
5/1/2016,6:00:00,9.54
5/1/2016,7:00:00,9.52
5/1/2016,8:00:00,9.55
5/1/2016,9:00:00,9.71
5/1/2016,10:00:00,9.95
5/1/2016,11:00:00,10.32
5/1/2016,12:00:00,10.83
5/1/2016,13:00:00,11.4
5/1/2016,14:00:00,11.91
5/1/2016,15:00:00,12.34
5/1/2016,16:00:00,12.59
5/1/2016,17:00:00,12.73
5/1/2016,18:00:00,12.68
5/1/2016,19:00:00,12.44
5/1/2016,20:00:00,12.04
5/1/2016,21:00:00,11.66
5/1/2016,22:00:00,11.35
5/1/2016,23:00:00,11.04
5/2/2016,0:00:00,10.74
5/2/2016,1:00:00,10.47
5/2/2016,2:00:00,10.29
5/2/2016,3:00:00,10.16
5/2/2016,4:00:00,10.05
5/2/2016,5:00:00,9.94
5/2/2016,6:00:00,9.85
5/2/2016,7:00:00,9.77
5/2/2016,8:00:00,9.74
5/2/2016,9:00:00,9.87
5/2/2016,10:00:00,10.12
5/2/2016,11:00:00,10.56
5/2/2016,12:00:00,11.07
5/2/2016,13:00:00,11.61
5/2/2016,14:00:00,12.11
5/2/2016,15:00:00,12.62
5/2/2016,16:00:00,12.82
5/2/2016,17:00:00,12.77
5/2/2016,18:00:00,12.63
5/2/2016,19:00:00,12.4
5/2/2016,20:00:00,12.05
5/2/2016,21:00:00,11.67
5/2/2016,22:00:00,11.37
5/2/2016,23:00:00,11.06
5/3/2016,0:00:00,10.8
5/3/2016,1:00:00,10.62
5/3/2016,2:00:00,10.5
5/3/2016,3:00:00,10.42
5/3/2016,4:00:00,10.34
5/3/2016,5:00:00,10.26
5/3/2016,6:00:00,10.19
5/3/2016,7:00:00,10.14
5/3/2016,8:00:00,10.13
5/3/2016,9:00:00,10.22
5/3/2016,10:00:00,10.42
5/3/2016,11:00:00,10.75
5/3/2016,12:00:00,11.08
5/3/2016,13:00:00,11.43
5/3/2016,14:00:00,11.74
5/3/2016,15:00:00,11.89
5/3/2016,16:00:00,11.89
5/3/2016,17:00:00,11.81
5/3/2016,18:00:00,11.64
5/3/2016,19:00:00,11.46
5/3/2016,20:00:00,11.24
5/3/2016,21:00:00,11.05
5/3/2016,22:00:00,10.89
5/3/2016,23:00:00,10.79
5/4/2016,0:00:00,10.71
5/4/2016,1:00:00,10.68
5/4/2016,2:00:00,10.64
5/4/2016,3:00:00,10.58
5/4/2016,4:00:00,10.48
5/4/2016,5:00:00,10.44
5/4/2016,6:00:00,10.43
5/4/2016,7:00:00,10.42
5/4/2016,8:00:00,10.47
5/4/2016,9:00:00,10.59
5/4/2016,10:00:00,10.77
5/4/2016,11:00:00,10.97
5/4/2016,12:00:00,11.2
5/4/2016,13:00:00,11.49
5/4/2016,14:00:00,11.63
5/4/2016,15:00:00,11.73
5/4/2016,16:00:00,11.83
5/4/2016,17:00:00,11.82
5/4/2016,18:00:00,11.71
5/4/2016,19:00:00,11.56
5/4/2016,20:00:00,11.37
5/4/2016,21:00:00,11.22
5/4/2016,22:00:00,11.04
5/4/2016,23:00:00,10.92
5/5/2016,0:00:00,10.82
5/5/2016,1:00:00,10.74
5/5/2016,2:00:00,10.69
5/5/2016,3:00:00,10.66
5/5/2016,4:00:00,10.61
5/5/2016,5:00:00,10.57
5/5/2016,6:00:00,10.55
5/5/2016,7:00:00,10.54
5/5/2016,8:00:00,10.55
5/5/2016,9:00:00,10.6
5/5/2016,10:00:00,10.68
5/5/2016,11:00:00,10.79
5/5/2016,12:00:00,10.96
5/5/2016,13:00:00,11.16
5/5/2016,14:00:00,11.31
5/5/2016,15:00:00,11.5
5/5/2016,16:00:00,11.61
5/5/2016,17:00:00,11.66
5/5/2016,18:00:00,11.6
5/5/2016,19:00:00,11.48
5/5/2016,20:00:00,11.36
5/5/2016,21:00:00,11.21
5/5/2016,22:00:00,11.03
5/5/2016,23:00:00,10.89
5/6/2016,0:00:00,10.78
5/6/2016,1:00:00,10.67
5/6/2016,2:00:00,10.58
5/6/2016,3:00:00,10.54
5/6/2016,4:00:00,10.52
5/6/2016,5:00:00,10.5
5/6/2016,6:00:00,10.47
5/6/2016,7:00:00,10.47
5/6/2016,8:00:00,10.49
5/6/2016,9:00:00,10.61
5/6/2016,10:00:00,10.83
5/6/2016,11:00:00,11.16
5/6/2016,12:00:00,11.38
5/6/2016,13:00:00,11.61
5/6/2016,14:00:00,11.82
5/6/2016,15:00:00,12.04
5/6/2016,16:00:00,12.16
5/6/2016,17:00:00,12.23
5/6/2016,18:00:00,12.17
5/6/2016,19:00:00,12
5/6/2016,20:00:00,11.73
5/6/2016,21:00:00,11.55
5/6/2016,22:00:00,11.4
5/6/2016,23:00:00,11.17
5/7/2016,0:00:00,10.92
5/7/2016,1:00:00,10.77
5/7/2016,2:00:00,10.67
5/7/2016,3:00:00,10.56
5/7/2016,4:00:00,10.48
5/7/2016,5:00:00,10.42
5/7/2016,6:00:00,10.37
5/7/2016,7:00:00,10.34
5/7/2016,8:00:00,10.39
5/7/2016,9:00:00,10.55
5/7/2016,10:00:00,10.69
5/7/2016,11:00:00,11.03
5/7/2016,12:00:00,11.46
5/7/2016,13:00:00,12.07
5/7/2016,14:00:00,12.7
5/7/2016,15:00:00,13.07
5/7/2016,16:00:00,13.28
5/7/2016,17:00:00,13.34
5/7/2016,18:00:00,13.26
5/7/2016,19:00:00,13.13
5/7/2016,20:00:00,12.85
5/7/2016,21:00:00,12.45
5/7/2016,22:00:00,11.96
5/7/2016,23:00:00,11.53
5/8/2016,0:00:00,11.21
5/8/2016,1:00:00,10.97
5/8/2016,2:00:00,10.8
5/8/2016,3:00:00,10.71
5/8/2016,4:00:00,10.66
5/8/2016,5:00:00,10.71
5/8/2016,6:00:00,10.87
5/8/2016,7:00:00,11.01
5/8/2016,8:00:00,10.97
5/8/2016,9:00:00,11.07
5/8/2016,10:00:00,11.34
5/8/2016,11:00:00,11.74
5/8/2016,12:00:00,12.34
5/8/2016,13:00:00,13.01
5/8/2016,14:00:00,13.47
5/8/2016,15:00:00,14.07
5/8/2016,16:00:00,14.25
5/8/2016,17:00:00,14.43
5/8/2016,18:00:00,14.56
5/8/2016,19:00:00,14.37
5/8/2016,20:00:00,13.86
