Rank,HDI,LEX,SCH,GNI,GRP
129,0.64652527,64.85,6.84,9387.195907,2
130,0.639832911,68.803,6.398,6353.045173,2
131,0.627254688,69.316,7.95474,3842.907105,2
132,0.624944098,69.199,4.5243,6846.390045,2
133,0.616716749,73.774,6.53113,4215.293803,2
134,0.612417609,70.565,3.1337,8064.827651,2
134,0.611784026,66.506,7.86553,3041.866614,2
136,0.608155837,72.808,5.78332,3676.923378,2
137,0.606282582,65.088,6.31,5694.221011,2
138,0.602573915,72.334,6.8,2995.279721,2
139,0.601275725,67.021,5.19385,6070.11563,2
140,0.591738194,63.033,7.062,4096.173789,2
141,0.590561035,57.939,5.53909,19512.53253,2
142,0.589920177,67.291,6.476,2960.799699,2
143,0.589476283,66.762,6.33347,2941.312798,2
144,0.588316354,58.268,6.52137,7619.943492,2
144,0.588083472,62.255,6.97,3557.379352,2
146,0.581975041,69.331,4.844,3412.937431,2
147,0.581178565,61.809,5.12546,5789.861511,2
148,0.578263213,66.744,4.91335,5567.223953,2
149,0.574038025,70.604,4.88185,2470.988021,2
150,0.561602586,66.629,5.18874,5311.219289,2
151,0.555938482,58.575,6.26246,3314.744584,2
152,0.545960041,71.006,5.54073,1872.453835,1
153,0.544304002,65.705,4.58,3402.574224,1
154,0.537714741,66.31,5.78,2655.39382,1
155,0.535703701,70.963,5.0625,2337.170091,1
156,0.534553286,61.712,8.14984,1682.839299,1
157,0.531809699,53.875,6.1755,5231.222288,1
158,0.523946712,67.496,4.14596,1811.223531,1
159,0.51972943,54.568,6.25,3254.907249,1
159,0.519643721,63.384,4.502,3591.761196,1
161,0.519162527,66.312,6.14595,1357.758439,1
162,0.516320815,60.182,6.09025,1657.976334,1
163,0.514619673,61.171,3.64903,2061.433065,1
164,0.505133723,67.477,2.9862,2384.177299,1
165,0.503253555,63.912,4.832,1398.797513,1
165,0.50322,60.477,4.83068,1453.432247,1
167,0.502465678,64.698,3.67,4119.151849,1
168,0.497695114,64.047,3.78,1823.52936,1
168,0.497945111,63.589,5.25,1665.462596,1
170,0.492304502,54.102,5.192,3481.22531,1
171,0.476552795,63.671,4.53,1064.416511,1
172,0.476005731,62.643,4.07,3391.747048,1
173,0.462664092,65.874,2.68114,1719.378176,1
174,0.460067236,61.424,3.538,1515.619983,1
175,0.459111122,60.617,2.56848,2066.672358,1
176,0.457469213,60.031,6.75948,795.8264152,1
177,0.455303553,57.805,3.00392,1551.809772,1
178,0.451900426,65.157,3,1239.29141,1
179,0.439978538,65.536,3.95245,1750.458994,1
180,0.436579911,58.872,3.49912,1092.688158,1
181,0.435093908,63.006,4.668,666.7729501,1
182,0.426868861,58.456,2.33342,1952.94601,1
183,0.423423185,60.77,1.46953,1650.092096,1
184,0.418987065,52.214,3.5,1239.936296,1
185,0.417216174,57.857,2.96889,702.2560922,1
186,0.403970247,53.208,2.32333,1750.185697,1
187,0.387725181,57.288,4.84913,963.1740924,1
188,0.366809345,52.89,4.256,663.1516331,1
189,0.353931192,60.422,1.95133,905.8680486,1
